Date,Open,High,Low,Close,Adj Close,Volume
30-Dec-16,2652.1,2666,2627,2632.2,2643.43,130704
2-Jan-17,2642.7,2654.3,2552,2598.5,2588.33,323342
3-Jan-17,2594,2632.2,2561.45,2619.2,2601.61,420196
4-Jan-17,2625.2,2698.55,2615.95,2684.1,2660.36,343922
5-Jan-17,2694,2730,2685,2723.35,2708.73,188686
6-Jan-17,2721,2739.9,2696.7,2707.35,2719.32,159484
9-Jan-17,2717,2746,2708,2723.15,2725.27,116789
10-Jan-17,2728.25,2747.3,2712,2740.75,2730.73,154097
11-Jan-17,2746.5,2748.5,2703.55,2718.55,2721.28,225842
12-Jan-17,2715,2743.45,2707.65,2737.15,2722.58,243299
13-Jan-17,2732,2753.75,2691.2,2708.55,2723.46,247719
16-Jan-17,2703,2730,2686.65,2721.65,2711.18,116324
17-Jan-17,2711,2742,2700,2728.9,2722.78,139584
18-Jan-17,2743,2743,2687.35,2699.7,2710.35,161391
1/19/17,2698.9,2712,2681.5,2695.3,2696.9,235309
1/20/17,2689,2720,2682,2701.05,2706.08,204961
1/23/17,2695.5,2715,2685,2706.5,2703.53,147551
