Date,Open,High,Low,Close,Adj Close,Volume
8-Apr-16,1214.9,1238.6,1208.7,1232.25,1225.75,485547
11-Apr-16,1238.9,1239.4,1210.05,1236,1225.21,499234
12-Apr-16,1237,1248.8,1229.1,1239.95,1238.56,1063980
13-Apr-16,1254,1349.75,1251.1,1332.45,1323.55,2977581
18-Apr-16,1330,1354.7,1316.1,1340.65,1341.16,1723300
20-Apr-16,1344.95,1344.95,1304.3,1326.05,1318.21,1771438
21-Apr-16,1334.95,1338.35,1302.15,1308.65,1316.13,846661
22-Apr-16,1310,1335.1,1302.65,1326,1323.13,710672
25-Apr-16,1325.3,1333.95,1317.25,1326.5,1325.63,605901
26-Apr-16,1334,1366,1328.15,1353.85,1351.64,1217835
27-Apr-16,1354,1389.35,1349.2,1384.75,1369.9,835598
28-Apr-16,1389.35,1397,1341,1344.5,1355.28,1998593
29-Apr-16,1344,1345.65,1318.3,1330.95,1331.45,903049
2-May-16,1319,1345,1313.2,1336.55,1333.37,602379
3-May-16,1337,1352.3,1316,1325.85,1336.76,958318
4-May-16,1325.9,1329.9,1306,1321,1319.59,522392
5-May-16,1325,1331,1306.25,1320.85,1318.01,671770
6-May-16,1311.7,1334,1306.5,1330.8,1322.38,546153
9-May-16,1331,1356.5,1330.9,1349.6,1350.27,945585
10-May-16,1347.5,1354.95,1332,1349.9,1345.53,673129
11-May-16,1338,1351,1312.15,1348.2,1343.96,1207165
12-May-16,1358.35,1363.2,1331.25,1334.4,1345.24,643801
13-May-16,1331,1331.6,1302,1312.75,1312.48,603585
16-May-16,1320,1320,1305.5,1316.3,1313.25,562282
17-May-16,1323,1351.4,1318.5,1341.95,1338.56,934914
18-May-16,1334.9,1334.9,1312.5,1326,1326.98,839532
19-May-16,1326,1329.3,1305.5,1311.05,1320.82,655804
20-May-16,1312.8,1322.05,1288.3,1293.1,1310.25,779047
23-May-16,1301,1301.05,1280.15,1284.95,1290.47,366074
24-May-16,1271.75,1302.9,1259.25,1294.8,1288.19,695522
25-May-16,1301.9,1318,1300,1311.75,1309.66,877614
26-May-16,1317.95,1349.95,1306,1339.1,1331.92,1406410
27-May-16,1339,1362,1327.55,1333.7,1341.36,736776
30-May-16,1334,1351.7,1312.8,1330.85,1333.53,2412447
31-May-16,1334.7,1345.3,1314.25,1322.3,1324.18,1478893
1-Jun-16,1329,1349,1326.25,1333.75,1337.82,945217
2-Jun-16,1342,1345.85,1330.6,1333.25,1335.9,761985
3-Jun-16,1345,1358.6,1342.75,1354.2,1351.85,1688254
6-Jun-16,1362.5,1386.6,1361.05,1369.7,1375.65,1217362
7-Jun-16,1375,1386.95,1373,1377.95,1379.52,1764547
8-Jun-16,1379.95,1398,1379.95,1386.3,1387.61,1133281
9-Jun-16,1383,1393.2,1365.2,1373.4,1382.54,693334
10-Jun-16,1368.75,1404.9,1363.55,1375.85,1390.49,1417540
13-Jun-16,1358.25,1376.5,1335.25,1357.35,1361.39,1190433
14-Jun-16,1361,1366.85,1349.1,1355.6,1357.32,587453
15-Jun-16,1358,1368.8,1350.2,1355.55,1355.91,682796
16-Jun-16,1357,1364.2,1339.2,1343.95,1345.28,999467
17-Jun-16,1350.3,1359.8,1339.2,1344,1349.18,965815
20-Jun-16,1340.05,1354,1330.05,1350.85,1349.58,1072024
21-Jun-16,1354.8,1371.6,1354.8,1366.85,1366.51,993252
22-Jun-16,1365.8,1380.75,1349.1,1359.5,1366.2,609326
23-Jun-16,1362.85,1380.05,1358.5,1374.75,1367.21,999417
24-Jun-16,1338,1397.8,1315,1388.9,1353.49,1384474
27-Jun-16,1395.15,1401.3,1378,1391.8,1391.51,873248
28-Jun-16,1390.1,1414,1386.9,1408.6,1397.65,1005490
